P/N,NTCG064BF473FTBX,,,,,
R25,47,kĦ +/-,1,%,,
B25/50,4050,K  +/- ,1,%,,
 ,,,,,,
Temp,Min,Nom,Max,B25/T, -dT,dT
(degC),(k ohm),(k ohm),(k ohm),(K),(degC),(degC)
-40,1543,1615,1690,3783,-0.7,0.7
-39,1442,1508,1577,3783,-0.6,0.6
-38,1349,1410,1473,3785,-0.6,0.6
-37,1262,1318,1376,3786,-0.6,0.6
-36,1182,1234,1288,3788,-0.6,0.6
-35,1107,1155,1205,3789,-0.6,0.6
-34,1039,1083,1129,3792,-0.6,0.6
-33,974.4,1015,1057,3793,-0.6,0.6
-32,915.2,952.7,991.6,3796,-0.6,0.6
-31,859.8,894.4,930.4,3798,-0.6,0.6
-30,808.2,840.2,873.4,3801,-0.6,0.6
-29,760,789.6,820.3,3803,-0.6,0.6
-28,715.1,742.5,770.9,3806,-0.6,0.6
-27,673.1,698.5,724.8,3809,-0.6,0.6
-26,634,657.5,681.8,3812,-0.6,0.6
-25,597.3,619.1,641.6,3815,-0.6,0.6
-24,563.1,583.3,604.2,3818,-0.6,0.6
-23,531.1,549.8,569.1,3821,-0.6,0.6
-22,501,518.4,536.3,3825,-0.6,0.6
-21,472.9,489,505.6,3828,-0.6,0.6
-20,446.6,461.5,476.9,3831,-0.5,0.5
-19,421.7,435.6,449.9,3835,-0.5,0.5
-18,398.5,411.4,424.6,3838,-0.5,0.5
-17,376.8,388.7,401,3842,-0.5,0.5
-16,356.3,367.4,378.8,3845,-0.5,0.5
-15,337.1,347.4,358,3849,-0.5,0.5
-14,319,328.5,338.3,3852,-0.5,0.5
-13,301.9,310.8,319.9,3856,-0.5,0.5
-12,286,294.2,302.6,3860,-0.5,0.5
-11,270.9,278.5,286.3,3863,-0.5,0.5
-10,256.7,263.8,271.1,3867,-0.5,0.5
-9,243.3,249.9,256.7,3870,-0.5,0.5
-8,230.7,236.8,243.1,3874,-0.5,0.5
-7,218.8,224.5,230.3,3878,-0.5,0.5
-6,207.6,212.9,218.3,3881,-0.5,0.5
-5,197.1,202,207,3886,-0.5,0.5
-4,187,191.6,196.3,3889,-0.4,0.4
-3,177.7,181.9,186.2,3893,-0.4,0.4
-2,168.8,172.7,176.7,3897,-0.4,0.4
-1,160.3,164,167.7,3900,-0.4,0.4
0,152.4,155.8,159.3,3904,-0.4,0.4
1,144.8,148,151.2,3907,-0.4,0.4
2,137.8,140.7,143.7,3911,-0.4,0.4
3,131.1,133.8,136.6,3915,-0.4,0.4
4,124.7,127.2,129.8,3918,-0.4,0.4
5,118.7,121,123.4,3921,-0.4,0.4
6,112.9,115.1,117.3,3923,-0.4,0.4
7,107.6,109.6,111.6,3929,-0.4,0.4
8,102.4,104.3,106.2,3931,-0.4,0.4
9,97.62,99.35,101.1,3935,-0.4,0.4
10,93.03,94.63,96.25,3939,-0.3,0.3
11,88.68,90.16,91.66,3942,-0.3,0.3
12,84.55,85.92,87.3,3945,-0.3,0.3
13,80.63,81.9,83.18,3948,-0.3,0.3
14,76.92,78.09,79.27,3952,-0.3,0.3
15,73.4,74.48,75.57,3955,-0.3,0.3
16,70.05,71.05,72.06,3958,-0.3,0.3
17,66.88,67.8,68.73,3962,-0.3,0.3
18,63.86,64.71,65.57,3965,-0.3,0.3
19,60.99,61.77,62.56,3967,-0.3,0.3
20,58.27,58.99,59.72,3972,-0.3,0.3
21,55.68,56.34,57.01,3974,-0.3,0.3
22,53.21,53.82,54.43,3975,-0.2,0.2
23,50.87,51.43,51.99,3977,-0.2,0.2
24,48.65,49.16,49.67,3981,-0.2,0.2
25,46.53,47,47.47,3989,-0.2,0.2
26,44.47,44.94,45.41,3998,-0.2,0.2
27,42.52,42.99,43.46,3990,-0.2,0.2
28,40.66,41.13,41.6,3993,-0.3,0.3
29,38.9,39.36,39.82,3995,-0.3,0.3
30,37.21,37.67,38.13,4000,-0.3,0.3
31,35.6,36.06,36.52,4005,-0.3,0.3
32,34.08,34.53,34.98,4007,-0.3,0.3
33,32.63,33.08,33.53,4007,-0.3,0.3
34,31.25,31.69,32.13,4011,-0.3,0.3
35,29.93,30.36,30.8,4015,-0.3,0.3
36,28.67,29.1,29.53,4017,-0.4,0.4
37,27.48,27.9,28.33,4019,-0.4,0.4
38,26.33,26.75,27.17,4022,-0.4,0.4
39,25.25,25.66,26.07,4023,-0.4,0.4
40,24.21,24.61,25.02,4027,-0.4,0.4
41,23.22,23.62,24.02,4028,-0.4,0.4
42,22.27,22.66,23.05,4032,-0.4,0.4
43,21.37,21.75,22.14,4035,-0.4,0.4
44,20.51,20.89,21.27,4036,-0.5,0.5
45,19.69,20.06,20.43,4038,-0.5,0.5
46,18.91,19.27,19.64,4040,-0.5,0.5
47,18.15,18.51,18.87,4043,-0.5,0.5
48,17.44,17.79,18.14,4044,-0.5,0.5
49,16.75,17.09,17.44,4049,-0.5,0.5
50,16.1,16.43,16.77,4051,-0.5,0.5
51,15.47,15.8,16.13,4052,-0.5,0.5
52,14.87,15.19,15.52,4056,-0.6,0.6
53,14.31,14.62,14.94,4056,-0.6,0.6
54,13.75,14.06,14.37,4059,-0.6,0.6
55,13.23,13.53,13.84,4061,-0.6,0.6
56,12.73,13.02,13.32,4064,-0.6,0.6
57,12.25,12.54,12.83,4064,-0.6,0.6
58,11.79,12.07,12.36,4067,-0.6,0.6
59,11.35,11.63,11.91,4068,-0.7,0.6
60,10.93,11.2,11.48,4070,-0.7,0.7
61,10.53,10.79,11.06,4072,-0.7,0.7
62,10.14,10.4,10.66,4074,-0.7,0.7
63,9.768,10.02,10.28,4076,-0.7,0.7
64,9.411,9.658,9.91,4078,-0.7,0.7
65,9.07,9.311,9.558,4081,-0.7,0.7
66,8.743,8.979,9.22,4082,-0.7,0.7
67,8.43,8.66,8.896,4084,-0.8,0.8
68,8.129,8.354,8.585,4086,-0.8,0.8
69,7.841,8.061,8.286,4088,-0.8,0.8
70,7.564,7.779,7.999,4089,-0.8,0.8
71,7.298,7.508,7.723,4091,-0.8,0.8
